method_a,method_b,agreement_score,sample_idx
GradCAM,SHAP,0.0,20551
IntegratedGradients,SHAP,0.88,20551
GradCAM,IntegratedGradients,0.3333333333333333,20797
GradCAM,SHAP,0.4166666666666667,20797
IntegratedGradients,SHAP,0.9166666666666666,20797
GradCAM,IntegratedGradients,0.0,20819
GradCAM,SHAP,0.0,20819
IntegratedGradients,SHAP,0.9565217391304348,20819
GradCAM,IntegratedGradients,0.0,20932
GradCAM,SHAP,0.0,20932
IntegratedGradients,SHAP,0.875,20932
GradCAM,IntegratedGradients,0.0,20936
GradCAM,SHAP,0.0,20936
IntegratedGradients,SHAP,1.0,20936
GradCAM,IntegratedGradients,0.8292682926829268,20951
GradCAM,SHAP,0.8292682926829268,20951
IntegratedGradients,SHAP,0.9166666666666666,20951
GradCAM,IntegratedGradients,0.0,21026
GradCAM,SHAP,0.0,21026
IntegratedGradients,SHAP,0.8260869565217391,21026
GradCAM,IntegratedGradients,0.0,21087
GradCAM,SHAP,0.0,21087
IntegratedGradients,SHAP,0.9310344827586207,21087
GradCAM,IntegratedGradients,0.0,21169
GradCAM,SHAP,0.0,21169
IntegratedGradients,SHAP,0.8461538461538461,21169
GradCAM,IntegratedGradients,0.0,21342
GradCAM,SHAP,0.0,21342
IntegratedGradients,SHAP,0.9130434782608695,21342
GradCAM,IntegratedGradients,0.12,21403
GradCAM,SHAP,0.2,21403
IntegratedGradients,SHAP,0.84,21403
GradCAM,IntegratedGradients,0.48,21444
GradCAM,SHAP,0.48,21444
IntegratedGradients,SHAP,0.88,21444
GradCAM,IntegratedGradients,0.0,21522
GradCAM,SHAP,0.2702702702702703,21522
IntegratedGradients,SHAP,0.7777777777777778,21522
GradCAM,IntegratedGradients,0.0,21531
GradCAM,SHAP,0.0,21531
IntegratedGradients,SHAP,0.7777777777777778,21531
GradCAM,IntegratedGradients,0.4878048780487805,21584
GradCAM,SHAP,0.47619047619047616,21584
IntegratedGradients,SHAP,0.9767441860465116,21584
GradCAM,IntegratedGradients,0.0,21870
GradCAM,SHAP,0.0,21870
IntegratedGradients,SHAP,0.9545454545454546,21870
